"automatic_water_benchmarking_eligible","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","community_council","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identificaiton_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"N/A","1000410001",,"Manhattan",,,,,,"BBL not valid",,,"Not Available",,,,"Not Available",,"1000410001","Office","12086","1001007","918919","N/A",,,,,,"Not Available","Not Available",
"Yes",,,"Queens",,,,,,"No Submission Matched to BBL","1","82730",,,,,,,"4021460028",,"14354",,"#N/A","None",,,"108 STREET","63-10",,,,"11375"
"N/A","2027620097",,"Bronx",,,,,,"BBL not valid",,,"Not Available",,,,"Not Available",,"2027620097","Multifamily Housing","12150","2006460","64200","N/A",,,,,,"Not Available","Not Available",
"No",,"1012266","Manhattan","99",,"4","3",,"No Submission Matched to BBL","1","440360",,,"40.749652","-74.006471",,"Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1006700001",,"12590",,"#N/A","None",,,"11 AVENUE","201",,,,"10001"
"N/A","2048300034",,"Bronx",,,,,,"Not on Covered Buildings List",,,"Not Available",,,,"Not Available",,"2048300034","Multifamily Housing","15591","2063117","50000","None",,,,,,"Not Available","Not Available",
"N/A","2-00612-0205",,"Bronx",,,,,,"BBL not valid",,,"Not Available",,,,"Not Available",,"2006120205","Distribution Center","12135","3008876","61800","N/A",,,,,,"Not Available","Not Available",
"No","3-05077-0001","3116471","Brooklyn","506",,"14","40",,"Filed","1","102198","Not Available",,"40.650673","-73.965166","Not Available","Flatbush                                                                   ","3050770001","Multifamily Housing","8523","3116471","102198","None",,,"CATON AVENUE","1600",,"Not Available","Not Available","11226"
"N/A","3065710023",,"Brooklyn",,,,,"174.6","Not on Covered Buildings List",,,"Not Available",,,,"Not Available",,"3065710023","Multifamily Housing","15920","3173037","46620","None",,,,,,"Not Available","Not Available",
"Yes",,,"Queens",,,,,,"No Submission Matched to BBL","1","120570",,,,,,,"4004490013",,"14241",,"#N/A","None",,,"11 STREET","44-02",,,,"11101"
"N/A","3072240128",,"Brooklyn",,,,,,"Not on Covered Buildings List",,,"Not Available",,,,"Not Available",,"3072240128","Multifamily Housing","15925","3196035","54029","None",,,,,,"Not Available","Not Available",
"Yes","3-08721-0375","3245726","Brooklyn","61002",,"13","48",,"Filed","1","288548","Not Available",,"40.575682","-73.955388","Not Available","Brighton Beach                                                             ","3087210375","Multifamily Housing","9685","3245726","0","ABS",,,"BRIGHTWATER AVENUE","1311",,"Not Available","Not Available","11235"
"Yes","3008640001","3337343","Brooklyn","102",,"7","38",,"Filed","5","353342","Not Available",,"40.639613","-74.014827","17.51","Sunset Park East                                                           ","3008640001","K-12 School","7540","3337343","171502","ABS",,,"59 STREET","526",,"Not Available","Not Available","11220"
"No",,,"Queens",,,,,,"No Submission Matched to BBL","1","85200",,,,,,,"4022370033",,"14360",,"#N/A","None",,,"112 STREET","72-36",,,,"11375"
"No","4-02431-0023",,"Queens",,,,,"0","Filed","1","62500","Not Available",,,,"Not Available",,"4024310023","Multifamily Housing","10588","4056316","68750","None",,,"67 STREET","46-01",,"Not Available","Not Available","11377"
"N/A",,,"Queens",,,,,,"No Submission Matched to BBL","1","132724",,,,,,,"4031680013",,"14423",,"#N/A","None",,,"  67 AVENUE         ","    98-30",,,,"11374"
"No",,"1005894","Manhattan","34",,"3","2",,"No Submission Matched to BBL","1","52390",,,"40.728261","-73.984785",,"East Village                                                               ","1004370001",,"12515",,"#N/A","None",,,"1 AVENUE","150",,,,"10009"
"No","Not Available","1036882","Manhattan","11203",,"6","4","0","Filed","1","313200","68","3556.4","40.760132","-73.967542","33.47","Turtle Bay-East Midtown                                                    ","1013110040","Office","3028","Not Available","330000","Manual","125.4","239.8","3 AVENUE","950","3556.4","123.8","237.9","10022"
"No",,,"Queens",,,,,,"No Submission Matched to BBL","1","738000",,,,,,,"4100970020",,"14609",,"#N/A","None",,,"JAMAICA AVENUE","153-20",,,,"11432"
"N/A","1-00646-0047",,"Manhattan",,,,,,"BBL not valid",,,"Not Available",,,,"Not Available",,"1006460047","Mixed Use Property","12096","1012238","69160","N/A",,,,,,"Not Available","Not Available",
"Yes","2033970029","2019798","Bronx","45101",,"12","11",,"Filed","1","52599","Not Available",,"40.897997","-73.863487","61.14","Woodlawn-Wakefield                                                         ","2033970029","Multifamily Housing","6666","2019798","52974","ABS",,,"EAST  235 STREET","529",,"Not Available","Not Available","10470"
"Yes","3-05887-0001","3146368","Brooklyn","34",,"10","43",,"Filed","1","82200","Not Available",,"40.636403","-74.036772","19.59","Bay Ridge                                                                  ","3058870001","Multifamily Housing","8914","3146368","82200","ABS",,,"SHORE ROAD","7119",,"Not Available","Not Available","11209"
